model,year,price,results
opel corsa (FR),2017.0,19500.0,0.0
opel corsa (DE),2008.0,1000.0,0.0
opel corsa (DE),2008.0,1500.0,0.0
opel corsa (DE),2008.0,2000.0,2.0
opel corsa (DE),2008.0,2500.0,12.0
opel corsa (DE),2008.0,3000.0,26.0
opel corsa (DE),2008.0,3500.0,31.0
opel corsa (DE),2008.0,4000.0,26.0
opel corsa (DE),2008.0,4500.0,0.0
opel corsa (DE),2008.0,5000.0,0.0
opel corsa (DE),2008.0,5500.0,0.0
opel corsa (DE),2008.0,6000.0,0.0
opel corsa (DE),2008.0,6500.0,0.0
opel corsa (DE),2008.0,7000.0,0.0
opel corsa (DE),2008.0,7500.0,0.0
opel corsa (DE),2008.0,8000.0,0.0
opel corsa (DE),2008.0,8500.0,0.0
opel corsa (DE),2008.0,9000.0,0.0
opel corsa (DE),2008.0,9500.0,0.0
opel corsa (DE),2008.0,10000.0,0.0
opel corsa (DE),2008.0,10500.0,0.0
opel corsa (DE),2008.0,11000.0,0.0
opel corsa (DE),2008.0,11500.0,0.0
opel corsa (DE),2008.0,12000.0,0.0
opel corsa (DE),2008.0,12500.0,0.0
opel corsa (DE),2008.0,13000.0,0.0
opel corsa (DE),2008.0,13500.0,0.0
opel corsa (DE),2008.0,14000.0,0.0
opel corsa (DE),2008.0,14500.0,0.0
opel corsa (DE),2008.0,15000.0,0.0
opel corsa (DE),2008.0,15500.0,0.0
opel corsa (DE),2008.0,16000.0,0.0
opel corsa (DE),2008.0,16500.0,0.0
opel corsa (DE),2008.0,17000.0,0.0
opel corsa (DE),2008.0,17500.0,0.0
opel corsa (DE),2008.0,18000.0,0.0
opel corsa (DE),2008.0,18500.0,0.0
opel corsa (DE),2008.0,19000.0,0.0
opel corsa (DE),2008.0,19500.0,0.0
opel corsa (DE),2009.0,1000.0,0.0
opel corsa (DE),2009.0,1500.0,0.0
opel corsa (DE),2009.0,2000.0,0.0
opel corsa (DE),2009.0,2500.0,5.0
opel corsa (DE),2009.0,3000.0,20.0
opel corsa (DE),2009.0,3500.0,41.0
opel corsa (DE),2009.0,4000.0,31.0
opel corsa (DE),2009.0,4500.0,48.0
opel corsa (DE),2009.0,5000.0,29.0
opel corsa (DE),2009.0,5500.0,35.0
opel corsa (DE),2009.0,6000.0,14.0
opel corsa (DE),2009.0,6500.0,0.0
opel corsa (DE),2009.0,7000.0,0.0
opel corsa (DE),2009.0,7500.0,0.0
opel corsa (DE),2009.0,8000.0,0.0
opel corsa (DE),2009.0,8500.0,0.0
opel corsa (DE),2009.0,9000.0,0.0
opel corsa (DE),2009.0,9500.0,0.0
opel corsa (DE),2009.0,10000.0,0.0
opel corsa (DE),2009.0,10500.0,0.0
opel corsa (DE),2009.0,11000.0,0.0
opel corsa (DE),2009.0,11500.0,0.0
opel corsa (DE),2009.0,12000.0,0.0
opel corsa (DE),2009.0,12500.0,0.0
opel corsa (DE),2009.0,13000.0,0.0
opel corsa (DE),2009.0,13500.0,0.0
opel corsa (DE),2009.0,14000.0,0.0
opel corsa (DE),2009.0,14500.0,0.0
opel corsa (DE),2009.0,15000.0,0.0
opel corsa (DE),2009.0,15500.0,0.0
opel corsa (DE),2009.0,16000.0,0.0
opel corsa (DE),2009.0,16500.0,0.0
opel corsa (DE),2009.0,17000.0,0.0
opel corsa (DE),2009.0,17500.0,0.0
opel corsa (DE),2009.0,18000.0,0.0
opel corsa (DE),2009.0,18500.0,0.0
opel corsa (DE),2009.0,19000.0,0.0
opel corsa (DE),2009.0,19500.0,0.0
opel corsa (DE),2010.0,1000.0,0.0
opel corsa (DE),2010.0,1500.0,0.0
opel corsa (DE),2010.0,2000.0,0.0
opel corsa (DE),2010.0,2500.0,0.0
opel corsa (DE),2010.0,3000.0,2.0
opel corsa (DE),2010.0,3500.0,9.0
opel corsa (DE),2010.0,4000.0,19.0
opel corsa (DE),2010.0,4500.0,28.0
opel corsa (DE),2010.0,5000.0,27.0
opel corsa (DE),2010.0,5500.0,48.0
opel corsa (DE),2010.0,6000.0,21.0
opel corsa (DE),2010.0,6500.0,27.0
opel corsa (DE),2010.0,7000.0,5.0
opel corsa (DE),2010.0,7500.0,11.0
opel corsa (DE),2010.0,8000.0,0.0
opel corsa (DE),2010.0,8500.0,0.0
opel corsa (DE),2010.0,9000.0,0.0
opel corsa (DE),2010.0,9500.0,0.0
opel corsa (DE),2010.0,10000.0,0.0
opel corsa (DE),2010.0,10500.0,0.0
opel corsa (DE),2010.0,11000.0,0.0
opel corsa (DE),2010.0,11500.0,0.0
opel corsa (DE),2010.0,12000.0,0.0
opel corsa (DE),2010.0,12500.0,0.0
opel corsa (DE),2010.0,13000.0,0.0
opel corsa (DE),2010.0,13500.0,0.0
opel corsa (DE),2010.0,14000.0,0.0
opel corsa (DE),2010.0,14500.0,0.0
opel corsa (DE),2010.0,15000.0,0.0
opel corsa (DE),2010.0,15500.0,0.0
opel corsa (DE),2010.0,16000.0,0.0
opel corsa (DE),2010.0,16500.0,0.0
opel corsa (DE),2010.0,17000.0,0.0
opel corsa (DE),2010.0,17500.0,0.0
opel corsa (DE),2010.0,18000.0,0.0
opel corsa (DE),2010.0,18500.0,0.0
opel corsa (DE),2010.0,19000.0,0.0
opel corsa (DE),2010.0,19500.0,0.0
opel corsa (DE),2011.0,1000.0,0.0
opel corsa (DE),2011.0,1500.0,0.0
opel corsa (DE),2011.0,2000.0,0.0
opel corsa (DE),2011.0,2500.0,0.0
opel corsa (DE),2011.0,3000.0,0.0
opel corsa (DE),2011.0,3500.0,0.0
opel corsa (DE),2011.0,4000.0,5.0
opel corsa (DE),2011.0,4500.0,17.0
opel corsa (DE),2011.0,5000.0,19.0
opel corsa (DE),2011.0,5500.0,53.0
opel corsa (DE),2011.0,6000.0,22.0
opel corsa (DE),2011.0,6500.0,52.0
opel corsa (DE),2011.0,7000.0,23.0
opel corsa (DE),2011.0,7500.0,21.0
opel corsa (DE),2011.0,8000.0,8.0
opel corsa (DE),2011.0,8500.0,5.0
opel corsa (DE),2011.0,9000.0,0.0
opel corsa (DE),2011.0,9500.0,0.0
opel corsa (DE),2011.0,10000.0,0.0
opel corsa (DE),2011.0,10500.0,0.0
opel corsa (DE),2011.0,11000.0,0.0
opel corsa (DE),2011.0,11500.0,0.0
opel corsa (DE),2011.0,12000.0,0.0
opel corsa (DE),2011.0,12500.0,0.0
opel corsa (DE),2011.0,13000.0,0.0
opel corsa (DE),2011.0,13500.0,0.0
opel corsa (DE),2011.0,14000.0,0.0
opel corsa (DE),2011.0,14500.0,0.0
opel corsa (DE),2011.0,15000.0,0.0
opel corsa (DE),2011.0,15500.0,0.0
opel corsa (DE),2011.0,16000.0,0.0
opel corsa (DE),2011.0,16500.0,0.0
opel corsa (DE),2011.0,17000.0,0.0
opel corsa (DE),2011.0,17500.0,0.0
opel corsa (DE),2011.0,18000.0,0.0
opel corsa (DE),2011.0,18500.0,0.0
opel corsa (DE),2011.0,19000.0,0.0
opel corsa (DE),2011.0,19500.0,0.0
opel corsa (DE),2012.0,1000.0,0.0
opel corsa (DE),2012.0,1500.0,0.0
opel corsa (DE),2012.0,2000.0,0.0
opel corsa (DE),2012.0,2500.0,0.0
opel corsa (DE),2012.0,3000.0,0.0
opel corsa (DE),2012.0,3500.0,0.0
opel corsa (DE),2012.0,4000.0,0.0
opel corsa (DE),2012.0,4500.0,8.0
opel corsa (DE),2012.0,5000.0,4.0
opel corsa (DE),2012.0,5500.0,16.0
opel corsa (DE),2012.0,6000.0,14.0
opel corsa (DE),2012.0,6500.0,49.0
opel corsa (DE),2012.0,7000.0,28.0
opel corsa (DE),2012.0,7500.0,47.0
opel corsa (DE),2012.0,8000.0,8.0
opel corsa (DE),2012.0,8500.0,11.0
opel corsa (DE),2012.0,9000.0,2.0
opel corsa (DE),2012.0,9500.0,2.0
opel corsa (DE),2012.0,10000.0,2.0
opel corsa (DE),2012.0,10500.0,2.0
opel corsa (DE),2012.0,11000.0,2.0
opel corsa (DE),2012.0,11500.0,0.0
opel corsa (DE),2012.0,12000.0,0.0
opel corsa (DE),2012.0,12500.0,0.0
opel corsa (DE),2012.0,13000.0,0.0
opel corsa (DE),2012.0,13500.0,0.0
opel corsa (DE),2012.0,14000.0,0.0
opel corsa (DE),2012.0,14500.0,0.0
opel corsa (DE),2012.0,15000.0,0.0
opel corsa (DE),2012.0,15500.0,0.0
opel corsa (DE),2012.0,16000.0,0.0
opel corsa (DE),2012.0,16500.0,0.0
opel corsa (DE),2012.0,17000.0,0.0
opel corsa (DE),2012.0,17500.0,0.0
opel corsa (DE),2012.0,18000.0,0.0
opel corsa (DE),2012.0,18500.0,0.0
opel corsa (DE),2012.0,19000.0,0.0
opel corsa (DE),2012.0,19500.0,0.0
opel corsa (DE),2013.0,1000.0,0.0
opel corsa (DE),2013.0,1500.0,0.0
opel corsa (DE),2013.0,2000.0,0.0
opel corsa (DE),2013.0,2500.0,0.0
opel corsa (DE),2013.0,3000.0,0.0
opel corsa (DE),2013.0,3500.0,0.0
opel corsa (DE),2013.0,4000.0,0.0
opel corsa (DE),2013.0,4500.0,0.0
opel corsa (DE),2013.0,5000.0,0.0
opel corsa (DE),2013.0,5500.0,18.0
opel corsa (DE),2013.0,6000.0,22.0
opel corsa (DE),2013.0,6500.0,34.0
opel corsa (DE),2013.0,7000.0,25.0
opel corsa (DE),2013.0,7500.0,85.0
opel corsa (DE),2013.0,8000.0,32.0
opel corsa (DE),2013.0,8500.0,43.0
opel corsa (DE),2013.0,9000.0,11.0
opel corsa (DE),2013.0,9500.0,38.0
opel corsa (DE),2013.0,10000.0,3.0
opel corsa (DE),2013.0,10500.0,2.0
opel corsa (DE),2013.0,11000.0,1.0
opel corsa (DE),2013.0,11500.0,0.0
opel corsa (DE),2013.0,12000.0,1.0
opel corsa (DE),2013.0,12500.0,1.0
opel corsa (DE),2013.0,13000.0,1.0
opel corsa (DE),2013.0,13500.0,0.0
opel corsa (DE),2013.0,14000.0,0.0
opel corsa (DE),2013.0,14500.0,0.0
opel corsa (DE),2013.0,15000.0,0.0
opel corsa (DE),2013.0,15500.0,0.0
opel corsa (DE),2013.0,16000.0,0.0
opel corsa (DE),2013.0,16500.0,0.0
opel corsa (DE),2013.0,17000.0,0.0
opel corsa (DE),2013.0,17500.0,0.0
opel corsa (DE),2013.0,18000.0,0.0
opel corsa (DE),2013.0,18500.0,0.0
opel corsa (DE),2013.0,19000.0,0.0
